Director,Genre,Runtime
Bruce Robinson,"Comedy, Drama",107 min
Bryan Singer,"Action, Adventure, Sci-Fi",132 min
Bryan Singer,"Biography, Drama, Music",134 min
Bryan Singer,"Crime, Mystery, Thriller",106 min
Buster Keaton,"Action, Comedy, Romance",45 min
Byron Howard,"Animation, Adventure, Comedy",108 min
Cameron Crowe,"Adventure, Comedy, Drama",122 min
Can Ulkay,"Biography, Drama, History",125 min
Carl Theodor Dreyer,"Biography, Drama, History",110 min
Carol Reed,"Film-Noir, Mystery, Thriller",104 min
Cary Joji Fukunaga,"Drama, War",137 min
Cecil B. DeMille,"Adventure, Drama",220 min
Chan-wook Park,"Action, Drama, Mystery",101 min
Chan-wook Park,"Action, Drama, Thriller",110 min
Chan-wook Park,"Crime, Drama, Thriller",129 min
Chan-wook Park,"Drama, Romance, Thriller",145 min
Charles Chaplin,"Adventure, Comedy, Drama",95 min
Charles Chaplin,"Comedy, Drama, Family",87 min68 min
Charles Chaplin,"Comedy, Drama, Romance",87 min
Charles Chaplin,"Comedy, Drama, War",125 min
Charles Chaplin,"Comedy, Romance",72 min
Charles Laughton,"Crime, Drama, Film-Noir",92 min
Charles Vidor,"Drama, Film-Noir, Romance",110 min
Charlie Kaufman,Drama,124 min
Chris Columbus,"Adventure, Family, Fantasy",152 min
Chris Columbus,"Comedy, Family",103 min
Christian Carion,"Drama, History, Music",116 min
Christophe Barratier,"Drama, Music",97 min
Christopher McQuarrie,"Action, Adventure, Thriller",147 min
Christopher Miller,"Animation, Action, Adventure",100 min
Christopher Nolan,"Action, Adventure",164 min140 min
Christopher Nolan,"Action, Adventure, Sci-Fi",148 min
Christopher Nolan,"Action, Crime, Drama",152 min
Christopher Nolan,"Action, Drama, History",106 min
Christopher Nolan,"Adventure, Drama, Sci-Fi",169 min
Christopher Nolan,"Drama, Mystery, Sci-Fi",130 min
Christopher Nolan,"Mystery, Thriller",113 min
Clint Eastwood,"Action, Adventure, Drama",141 min
Clint Eastwood,"Biography, Crime, Drama",141 min
Clint Eastwood,"Crime, Drama, Mystery",138 min
Clint Eastwood,Drama,116 min
Clint Eastwood,"Drama, Romance",135 min
Clint Eastwood,"Drama, Sport",132 min
Clint Eastwood,"Drama, Western",130 min
Clint Eastwood,Western,135 min
Clyde Bruckman,"Action, Adventure, Comedy",67 min
Cristian Mungiu,Drama,113 min
Curtis Hanson,"Crime, Drama, Mystery",138 min
Cy Endfield,"Drama, History, War",138 min
Céline Sciamma,"Drama, Romance",122 min
Damien Chazelle,"Comedy, Drama, Music",128 min
Damien Chazelle,"Drama, Music",106 min
Damián Szifron,"Comedy, Drama, Thriller",122 min
Dan Gilroy,"Crime, Drama, Thriller",117 min
Daniel Monzón,"Action, Adventure, Crime",113 min
Danis Tanovic,"Comedy, Drama, War",98 min
Danny Boyle,Drama,93 min
Danny Boyle,"Drama, Horror, Sci-Fi",113 min
Danny Boyle,"Drama, Romance",120 min
Darius Marder,"Drama, Music",120 min
Darren Aronofsky,Drama,102 min
Darren Aronofsky,"Drama, Sport",109 min
Darren Aronofsky,"Drama, Thriller",108 min
David Ayer,"Action, Crime, Drama",109 min
David Cronenberg,"Action, Crime, Drama",100 min
David Fincher,"Action, Drama, Mystery",129 min
David Fincher,"Biography, Drama",120 min
David Fincher,"Crime, Drama, Mystery",127 min158 min157 min
David Fincher,Drama,139 min
David Fincher,"Drama, Fantasy, Romance",166 min
David Fincher,"Drama, Mystery, Thriller",149 min
David Lean,"Adventure, Biography, Drama",228 min
David Lean,"Adventure, Drama, War",161 min
David Lean,"Drama, Romance",86 min
David Lean,"Drama, Romance, War",197 min
David Leitch,"Action, Adventure, Comedy",119 min
David Lynch,"Biography, Drama",124 min112 min
David Lynch,"Drama, Mystery, Thriller",147 min120 min
David Lynch,"Mystery, Thriller",134 min
David Mackenzie,"Action, Crime, Drama",102 min
David Mickey Evans,"Comedy, Drama, Family",101 min
David O. Russell,"Biography, Drama, Sport",116 min
David O. Russell,"Comedy, Drama, Romance",122 min
David Yates,"Action, Adventure, Family",153 min
David Yates,"Adventure, Drama, Fantasy",130 min
David Yates,"Adventure, Family, Fantasy",146 min
David Zucker,"Comedy, Crime",85 min
Dean DeBlois,"Animation, Action, Adventure",98 min102 min
Denis Villeneuve,"Action, Crime, Drama",121 min
Denis Villeneuve,"Action, Drama, Mystery",164 min
Denis Villeneuve,"Crime, Drama, Mystery",153 min
Denis Villeneuve,"Drama, Mystery, War",131 min
Denis Villeneuve,"Drama, Sci-Fi",116 min
Deniz Gamze Ergüven,Drama,97 min
Dennis Gansel,"Drama, Thriller",107 min
Destin Daniel Cretton,"Biography, Crime, Drama",137 min
Destin Daniel Cretton,Drama,96 min
Don Hall,"Animation, Action, Adventure",102 min
Don Siegel,"Action, Biography, Crime",112 min
Don Siegel,"Action, Crime, Thriller",102 min
Don Siegel,"Drama, Horror, Sci-Fi",80 min
Dorota Kobiela,"Animation, Biography, Crime",94 min
Doug Liman,"Action, Adventure, Sci-Fi",113 min
Doug Liman,"Action, Mystery, Thriller",119 min
Duncan Jones,"Drama, Mystery, Sci-Fi",97 min
Edgar Wright,"Action, Comedy, Mystery",121 min
Edgar Wright,"Action, Crime, Drama",113 min
Edgar Wright,"Comedy, Horror",99 min
Edward Zwick,"Action, Drama",154 min
Edward Zwick,"Adventure, Drama, Thriller",143 min
Edward Zwick,"Biography, Drama, History",122 min
Elem Klimov,"Drama, Thriller, War",142 min
Elia Kazan,"Crime, Drama, Thriller",108 min
Elia Kazan,Drama,122 min118 min
Emir Kusturica,"Comedy, Crime, Drama",142 min
Emir Kusturica,"Comedy, Crime, Romance",127 min
Emir Kusturica,"Comedy, Drama, War",170 min
Eric Bress,"Drama, Sci-Fi, Thriller",113 min
Ericson Core,"Adventure, Biography, Drama",113 min
Ernst Lubitsch,"Comedy, Drama, Romance",99 min
Ernst Lubitsch,"Comedy, War",99 min
Ethan Coen,"Crime, Drama, Thriller",122 min
Ethan Coen,"Drama, Western",110 min
F. Gary Gray,"Biography, Drama, History",147 min
F.W. Murnau,"Drama, Romance",94 min
F.W. Murnau,"Fantasy, Horror",94 min
Fabián Bielinsky,"Crime, Drama, Thriller",114 min
Farhan Akhtar,"Comedy, Drama, Romance",183 min
Fatih Akin,Drama,122 min
Fatih Akin,"Drama, Romance",121 min
Federico Fellini,"Comedy, Drama",174 min
Federico Fellini,"Comedy, Drama, Family",123 min
Federico Fellini,Drama,110 min138 min108 min
Felix van Groeningen,"Drama, Music, Romance",111 min
Fernando Meirelles,"Crime, Drama",130 min
Florian Henckel von Donnersmarck,"Drama, Mystery, Thriller",137 min
Francis Ford Coppola,"Crime, Drama",175 min202 min162 min
Francis Ford Coppola,"Drama, Mystery, Thriller",113 min
Francis Ford Coppola,"Drama, Mystery, War",147 min
Francis Lee,"Drama, Romance",104 min
Francis Veber,Comedy,80 min
Frank Capra,"Comedy, Crime, Thriller",118 min
Frank Capra,"Comedy, Drama",129 min
Frank Capra,"Comedy, Romance",105 min
Frank Capra,"Drama, Family, Fantasy",130 min
Frank Darabont,"Crime, Drama, Fantasy",189 min
Frank Darabont,Drama,142 min
Frank Miller,"Crime, Thriller",124 min
Franklin J. Schaffner,"Adventure, Sci-Fi",112 min
Franklin J. Schaffner,"Biography, Crime, Drama",151 min
Franklin J. Schaffner,"Biography, Drama, War",172 min
François Truffaut,"Crime, Drama",99 min
François Truffaut,"Drama, Romance",105 min
Fred Zinnemann,"Biography, Drama, History",120 min
Fred Zinnemann,"Crime, Drama, Thriller",143 min
Fred Zinnemann,"Drama, Romance, War",118 min
Fred Zinnemann,"Drama, Thriller, Western",85 min
Fritz Lang,"Crime, Mystery, Thriller",117 min
Fritz Lang,"Drama, Sci-Fi",153 min
Gabriele Muccino,"Biography, Drama",117 min
Gabriele Muccino,Drama,123 min
Gareth Edwards,"Action, Adventure, Sci-Fi",133 min
Gareth Evans,"Action, Crime, Thriller",150 min
Gareth Evans,"Action, Thriller",101 min
Garth Davis,"Biography, Drama",118 min
Gary Trousdale,"Animation, Family, Fantasy",84 min
Gauri Shinde,"Comedy, Drama, Family",134 min
Gavin O'Connor,"Action, Drama, Sport",140 min
Gayatri,"Action, Crime, Drama",147 min
Gene Saks,Comedy,105 min
George A. Romero,"Action, Adventure, Horror",127 min
George A. Romero,"Horror, Thriller",96 min
George Cukor,"Comedy, Romance",112 min
George Cukor,"Drama, Family, Musical",170 min
George Lucas,"Action, Adventure, Fantasy",121 min
George Miller,"Action, Adventure, Sci-Fi",120 min96 min
George P. Cosmatos,"Action, Biography, Drama",130 min
George Roy Hill,"Biography, Crime, Drama",110 min
George Roy Hill,"Comedy, Crime, Drama",129 min
George Seaton,"Comedy, Drama, Family",96 min
George Sluizer,"Mystery, Thriller",107 min
George Stevens,"Drama, Western",201 min
Georges Franju,"Drama, Horror",90 min
Gillo Pontecorvo,"Drama, War",121 min
Giuseppe Tornatore,"Crime, Drama, Mystery",131 min
Giuseppe Tornatore,"Drama, Music, Romance",169 min
Giuseppe Tornatore,"Drama, Romance",155 min
Gore Verbinski,"Action, Adventure, Fantasy",143 min
Gregg Araki,Drama,105 min
Gregory Hoblit,"Crime, Drama, Mystery",129 min
Greta Gerwig,"Drama, Romance",135 min
Guillermo del Toro,"Drama, Fantasy, War",118 min
Gus Van Sant,"Drama, Romance",126 min
Guy Hamilton,"Action, Adventure, Thriller",110 min
